gene	patient_id	biological_sample_id	tissue	cell_type	mean_expression	detection_rate	cell_count
ITGB1	P4	P4_PT	PT	fibroblast_CAF	0	0	1
MMP14	P4	P4_PT	PT	B_cell	0.00098474298642532	0.000853424365265629	4687
MMP14	P4	P4_PT	PT	T_NK	0	0	3775
MMP14	P4	P4_PT	PT	other	0	0	128
MMP14	P4	P4_PT	PT	endothelial	0	0	56
MMP14	P4	P4_PT	PT	plasma_cell	0	0	59
MMP14	P4	P4_PT	PT	epithelial	0	0	7
MMP14	P4	P4_PT	PT	fibroblast_CAF	0	0	1
CD209	P4	P4_PT	PT	B_cell	0	0	4687
CD209	P4	P4_PT	PT	T_NK	0	0	3775
CD209	P4	P4_PT	PT	other	0	0	128
CD209	P4	P4_PT	PT	endothelial	0	0	56
